layer,neuron,max_corr,mean_corr,min_corr,max_baseline,min_baseline,mean_baseline,w_in_norm,input_bias,w_out_norm,in_out_sim,l2_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity,excess_corr
0,39,0.827,0.7091,0.6416,0.2162,0.1981,0.2059333333333333,0.38197115,-0.08381765,0.5473374,0.09258343,0.4454801888710824,-0.47450998,0.24717309,1.43924,7.3828936,9.1998336e-05,0.001186383,-0.0022151142,3.2135365,0.18447976,0.5031666666666667
0,61,0.978,0.944,0.9087,0.4502,0.4363,0.4421666666666666,0.30212748,-0.035106514,0.47400594,0.0416269,0.315962645326434,-0.13761853,0.5329459,2.96128,12.540549,1.2164395e-05,0.0013693816,0.020542314,2.9481776,0.26284158,0.5018333333333334
0,86,0.813,0.7586666666666666,0.662,0.253,0.2329,0.2407,0.34087756,-0.019498903,0.52561516,0.08776111,0.3924688073333792,-0.35519537,0.18320099,1.9401139,12.905287,-0.00044474314,0.0011193773,-0.012109071,3.075416,0.24156545,0.5179666666666666
0,113,0.839,0.8036666666666666,0.774,0.2405,0.2135,0.2266,0.40697053,-0.23249713,0.57749665,0.08989972,0.4991273930497033,-0.73659414,0.31170338,1.9978224,14.3546295,-0.000742991,0.0013787096,-0.083774544,2.9344687,0.08167518,0.5770666666666666
0,121,0.9404,0.9054333333333332,0.8784,0.2607,0.228,0.2480333333333333,0.35532898,-0.15643074,0.58090794,0.045385733,0.463712718782884,-0.58900464,0.47263652,2.237346,13.863222,-0.0010826769,0.0014040173,0.022716274,3.1240556,0.13788748,0.6573999999999999
0,180,0.9375,0.8538333333333333,0.7886,0.2837,0.2603,0.274,0.32328078,-0.12750855,0.6264215,0.18398184,0.4969143583796583,-0.693025,0.5973305,1.157098,7.19923,-0.00073469913,0.0012155237,0.032791518,3.1060238,0.14908679,0.5798333333333333
0,184,0.889,0.8133333333333334,0.704,0.2218,0.2042,0.2110999999999999,0.41643298,0.004320413,0.61337405,0.062144708,0.549644152045083,-0.44223085,0.28614548,1.592406,6.7446675,1.7034932e-05,0.0011352195,0.025370536,3.0032918,0.17841436,0.6022333333333334
0,236,0.808,0.7472,0.6973,0.2423,0.233,0.2371,0.39315182,-0.20286766,0.65395,0.17510106,0.5822189560693124,-1.1450329,0.9274164,-0.014381227,2.8394685,5.1100666e-05,0.001216666,0.1330228,3.3426971,0.118085615,0.5101
0,243,0.896,0.8021666666666668,0.658,0.221,0.1918,0.2038333333333333,0.40932477,-0.1875482,0.6136752,0.112090476,0.5441440184305929,-0.70806766,0.525777,0.31225708,3.3976345,4.831276e-05,0.0011719664,0.027351946,3.0098693,0.14939551,0.5983333333333335
0,285,0.881,0.8487,0.8135,0.2676,0.2249,0.2393333333333333,0.35045874,-0.28678367,0.5700587,0.09003911,0.4477882498880776,-0.82651603,0.6468651,0.46949595,4.303071,-0.00037323587,0.0013761544,0.05816627,3.0788865,0.10678781,0.6093666666666667
