,layer,neuron,max_corr,min_corr,max_baseline,min_baseline,excess_corr,input_weight_norm,input_bias,output_weight_norm,in_out_sim,weight_norm_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity
39,0,39,0.893,0.864,0.144,0.12305,0.7197,0.5483689,-0.73739487,0.42523637,-0.08667691,0.4815344208579869,-0.70811784,0.19895732,2.1950517,21.823866,8.493597e-05,0.0011060709,-0.017191455,3.2539809,0.06570951
77,0,77,0.9863,0.95,0.2551,0.2192,0.6953,0.5540576,-0.92463905,0.50415146,-0.12845057,0.5611485187378916,-0.7288568,0.3469965,4.646905,36.794247,-0.00068671093,0.0013382467,0.5386298,4.7450924,0.027467359
97,0,97,0.971,0.9565,0.2751,0.1984,0.6816,0.6642876,-1.6353343,0.34739915,0.25632465,0.5619641849344824,-1.6016202,0.7686611,1.6938901,10.27622,0.00019425199,0.0013381791,0.16449556,3.2453501,0.03400718
196,0,196,0.975,0.9473,0.295,0.2273,0.6523,0.6265001,-0.47912118,0.3260875,-0.1475797,0.49883543295626,-0.6551721,0.34497455,3.1358647,16.624777,0.0008038795,0.0012870375,-0.020051774,3.1258867,0.07710938
208,0,208,0.93,0.912,0.1605,0.1425,0.7515,0.6757446,-1.9453259,0.511576,0.19842117,0.7183407682051601,-2.520066,0.8554903,0.54646546,3.8199823,-3.924841e-05,0.0013941621,-0.12306427,2.974605,0.009385397
314,0,314,0.947,0.935,0.2568,0.2211,0.678,0.48748645,-1.3662356,0.547287,0.30206048,0.5371660993026024,-1.46063,0.31562102,1.3355411,12.105111,-3.2830365e-05,0.0013549366,-0.05804571,3.1480863,0.0134051535
328,0,328,0.966,0.9595,0.187,0.1537,0.7725,0.5218008,-0.9075072,0.48189086,-0.16886361,0.5044948758321794,-0.8111922,0.23430276,5.587311,57.272156,-3.8157123e-06,0.0011982654,0.06665603,3.4931755,0.01911733
343,0,343,0.887,0.819,0.1671,0.1425,0.652,0.5116546,-0.7113272,0.4346228,-0.0020416155,0.45068740798099993,-0.76735103,0.2215889,2.1077697,16.301947,0.0003544142,0.0012600366,0.02793877,3.232613,0.06011151
488,0,488,0.952,0.8965,0.1913,0.1769,0.705,0.6046974,-0.993927,0.45643368,0.06525404,0.5739906498051024,-1.3412787,0.5009938,1.9885187,15.8557,-6.975935e-05,0.0011494847,0.023487205,3.0336974,0.03444094
504,0,504,0.9536,0.9053,0.1442,0.1267,0.761,0.5683415,-0.904307,0.4540739,-0.07999762,0.52919516728346,-0.82985777,0.2637962,3.340144,34.319336,-0.0007787616,0.0011846507,0.118824735,3.3506196,0.037195172
553,0,553,0.9697,0.9194,0.1473,0.1234,0.772,0.5266124,-0.78884804,0.46329653,-0.14876506,0.49196429454380086,-0.7930788,0.18698248,5.397671,62.34032,-0.00041526792,0.0011626151,0.18649077,3.805176,0.025747437
591,0,591,0.921,0.8726,0.1692,0.1583,0.703,0.61319435,-0.83631593,0.39621297,0.01102925,0.5329920284681434,-1.0401999,0.29352242,2.2863932,17.696466,9.730177e-05,0.0012593435,0.099628955,3.265657,0.036937725
869,0,869,0.9688,0.9575,0.1831,0.155,0.7744,0.60482395,-1.3129146,0.47889885,0.075811975,0.595156119024925,-1.2102945,0.28304157,3.1665423,31.054682,-2.4913743e-05,0.001564216,0.4733536,4.908057,0.010381096
874,0,874,0.984,0.866,0.1633,0.1516,0.703,0.58651197,-1.0623963,0.46046454,-0.095725276,0.5560238835506924,-0.98762625,0.2733003,4.1521287,44.723057,-0.00015013784,0.0012965013,0.1481148,3.2296152,0.011466813
974,0,974,0.9556,0.893,0.2145,0.1665,0.6787,0.53447986,-0.7387287,0.38952628,-0.046003725,0.43739944355625804,-1.2614807,0.41689673,0.8859622,6.3158226,-5.0577983e-05,0.0015094362,0.2427019,3.3201659,0.031870946
988,0,988,0.9746,0.968,0.1581,0.1318,0.8096,0.5283222,-0.8774198,0.4528319,-0.11984849,0.48418107667044996,-0.89613104,0.21761404,4.046383,44.495018,-0.0006927532,0.0012459906,0.116334155,3.122032,0.020514963
1087,0,1087,0.982,0.962,0.2068,0.1678,0.755,0.6311871,-1.2271664,0.465536,0.05727209,0.61512092250241,-1.2494311,0.47746116,2.2426505,17.901543,0.0011491602,0.0019934815,0.37722388,3.416792,0.016026035
1135,0,1135,0.977,0.929,0.2048,0.1487,0.7246,0.5302905,-0.8878511,0.44167858,-0.029765267,0.4762879824210664,-0.8384548,0.2550099,4.3499703,41.929966,-0.00024841665,0.0012654047,0.15087181,3.2641785,0.021223972
1153,0,1153,0.875,0.8247,0.155,0.136,0.67,0.8059882,-2.569148,0.6282415,0.16769141,1.0443043608614901,-2.6150267,1.1372604,0.3922309,4.5853267,0.00041361724,0.0014271459,-0.053109176,3.021695,0.017353987
1411,0,1411,0.933,0.8374,0.1713,0.1344,0.666,0.55245656,-0.81808686,0.42818755,-0.022883277,0.4885528286620361,-0.861737,0.20962238,3.6378372,43.886806,-0.0001235943,0.0011823162,0.028851075,3.234596,0.034552008
1438,0,1438,0.959,0.842,0.1449,0.1262,0.697,0.5544905,-0.84520626,0.4355442,-0.2987963,0.49715846474389,-0.7738866,0.19499008,3.5365627,40.0695,0.0005043963,0.0010542196,-0.093438625,3.3579252,0.031441502
1585,0,1585,0.9854,0.93,0.1724,0.1437,0.758,0.58371425,-0.9869771,0.47911334,-0.055999726,0.5702719182190181,-0.9202728,0.29006442,4.754918,49.13052,-0.00014780558,0.0011017683,0.06334475,3.8529663,0.019840114
1647,0,1647,0.9663,0.9443,0.2485,0.2115,0.696,0.5076639,-1.2043471,0.43159282,0.04501368,0.4439949976387623,-1.4878412,0.69131845,1.3398764,7.782387,-0.0014259478,0.0016710078,0.4853457,3.6355364,0.030164778
1657,0,1657,0.9956,0.9937,0.2795,0.242,0.714,0.5245031,-1.0372077,0.48788062,0.010561744,0.5131310012811944,-0.9678971,0.47534764,5.4393377,40.05491,-8.419661e-05,0.0012409313,-0.13959375,3.1218135,0.019063607
1751,0,1751,0.92,0.863,0.2028,0.1787,0.66,0.5719764,-1.0167606,0.41923895,-0.09560727,0.5029182993540626,-1.1914439,0.3372461,2.8849387,23.083708,0.00020142335,0.0017483754,0.6609614,4.217842,0.023389816
