layer,neuron,max_corr,mean_corr,min_corr,max_baseline,min_baseline,mean_baseline,w_in_norm,input_bias,w_out_norm,in_out_sim,l2_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity
1,2031,0.863,0.7466,0.687,0.2812,0.2216,0.252,0.39081886,-0.36678544,0.5263897,-0.6917084,0.4298254975977895,-1.1085377,1.2293502,-0.15600388,1.316782,0.00035126926,0.0006666223,-0.11290532,3.1596236,0.28700578
2,672,0.7617,0.6797,0.5986,0.2117,0.1624,0.1896,0.31415847,-0.44041288,0.45728981,-0.6264429,0.307809514602577,-1.5164595,1.3797276,0.2062053,1.3395908,0.00028947805,0.00061383966,-0.061024908,3.0467386,0.18624295
1,1875,0.6714,0.5825,0.514,0.3262,0.2927,0.3074,0.54971653,-1.2288346,0.6361982,-0.57016414,0.706936413038481,-1.1684042,1.4367067,-0.1307689,1.3428414,-0.0013776263,0.0015182954,0.13272744,2.933295,0.31112996
1,590,0.7524,0.7017,0.6577,0.2913,0.236,0.2634,0.38991433,-0.9370469,0.6652117,-0.5740107,0.5945397905562388,-1.4946464,1.3913113,0.33191842,1.3726544,-0.00034256114,0.00054689427,0.8182597,7.8352146,0.26732433
2,67,0.62,0.5586,0.5103,0.3047,0.2852,0.2964,0.5046575,-0.9066336,0.81900793,-0.5769215,0.9254531817091348,-1.4729121,1.4097679,0.4389094,1.4530989,-0.000509341,0.0016275089,-0.16971534,3.1603363,0.25195503
4,2364,0.4739,0.439,0.38,0.2418,0.2197,0.2312,0.517038,-0.8812704,0.7344626,-0.6473657,0.80676360424276,-1.478382,1.284351,0.33521867,1.4562058,-1.9585752e-05,0.0019864189,-0.2831865,3.0498123,0.18275824
1,3050,0.7905,0.697,0.6553,0.3247,0.312,0.3188,0.31994483,-0.3264449,0.3364574,-0.57095766,0.2155682762584889,-1.1548799,0.8387531,-0.29065186,1.4566809,0.0006140747,0.0008870852,0.06590145,3.041671,0.080553465
1,2613,0.838,0.7383,0.5957,0.1436,0.1283,0.1356,0.45781624,-0.5902316,0.5449315,-0.47184077,0.5065460492999876,-1.2080524,1.155461,0.0003693445,1.4577976,0.0005589395,0.00047297316,0.06485576,2.952122,0.24694909
0,2241,0.9473,0.8926,0.8457,0.4167,0.3208,0.3706,0.3361535,0.23871507,0.50126624,0.20163344,0.3642670189259875,0.5455121,1.7109753,0.19447911,1.4613045,0.00040110227,0.00027047988,-0.30799553,4.106331,0.56233543
1,116,0.3184,0.2725,0.2566,0.2472,0.1973,0.2155,0.5022923,-0.2747037,0.4085908,-0.76310724,0.41924399648393,-1.1487628,1.3165855,-0.47350058,1.5234853,-0.0006741098,0.002233959,0.98881996,4.9382954,0.15829304
1,1447,0.442,0.41,0.369,0.4236,0.3833,0.4038,0.37281564,-0.22602643,0.54073924,-0.7263237,0.4313904271043872,-0.9878153,1.1812656,-0.41543338,1.5389365,0.00062527,0.0014682551,-0.09726896,2.9143353,0.32424396
1,1190,0.813,0.678,0.5967,0.1705,0.12213,0.1389,0.39978197,-0.58991504,0.5113891,-0.49583223,0.4213444351358909,-1.1644788,1.0854714,0.062356696,1.5414855,0.00017849416,0.00041126218,-0.03712864,3.0217423,0.2408946
1,1263,0.8594,0.7163,0.526,0.2056,0.1743,0.1909,0.43933037,-0.5612909,0.52829725,-0.6815227,0.4721091583618995,-1.0945537,1.0795002,-0.21792324,1.5442562,0.00029022852,0.00046754934,-0.045384612,3.023652,0.24830379
5,2730,0.3867,0.3706,0.3352,0.2263,0.199,0.2064,0.48280388,-0.14410144,0.5410499,-0.75812364,0.5258345808330644,-1.1910498,1.4413608,-0.31683135,1.548597,-0.0011195343,0.001977537,0.06371292,2.9059072,0.25689277
4,2421,0.629,0.592,0.5767,0.4724,0.4546,0.4648,0.5310975,-0.7809028,0.54154044,-0.52650017,0.5753306026616436,-1.0801022,1.3554741,-0.070291154,1.5588677,0.0023068325,0.0025270192,-0.09285417,2.669355,0.29325312
3,819,0.406,0.3809,0.3267,0.2499,0.2004,0.2197,0.4918355,-0.32800895,0.46324208,-0.6350764,0.4564953837429764,-1.3261143,0.98443323,0.06403891,1.5705166,-0.00051659596,0.001411091,0.14795448,3.1420875,0.12797037
1,2813,0.753,0.718,0.694,0.3022,0.246,0.2642,0.49807835,-0.8418334,0.4077434,-0.5510192,0.4143367229822825,-1.0660278,1.34125,-0.3367014,1.5797954,8.9423316e-05,0.0004069545,-0.05039881,2.9763348,0.24788834
1,1656,0.7886,0.6826,0.5474,0.1677,0.1373,0.1509,0.4175235,-0.59171045,0.7059761,-0.49912593,0.67272812682346,-1.1999507,1.0589396,0.017404733,1.5910988,0.0003960694,0.00032083504,0.075527795,3.038863,0.21855104
8,23,0.5317,0.488,0.4604,0.3281,0.3008,0.3154,0.5625237,-0.77727115,0.81085986,-0.54812235,0.9739266256209096,-1.5023677,1.3740442,0.16266446,1.5945739,0.0027265209,0.0039544976,-0.17963989,2.3530793,0.14150482
1,1205,0.817,0.6533,0.5747,0.1519,0.1367,0.1438,0.3979489,-0.567719,0.4971546,-0.43888316,0.40552602331237,-1.0503986,1.0271912,-0.040504575,1.6043707,0.0004172837,0.00044890353,-0.029394433,3.0842364,0.26166087
1,322,0.826,0.7764,0.7144,0.1721,0.1448,0.156,0.41662645,-0.69885015,0.5397646,-0.49514484,0.4649234222527625,-1.169766,1.1348423,0.032888502,1.6145875,0.0005844659,0.00045495943,-0.010498501,2.9826975,0.24441832
6,21,0.512,0.4727,0.4426,0.364,0.3235,0.3433,0.5288371,-0.61459017,0.6067014,-0.5479281,0.64775526709837,-1.0468823,1.1309533,0.02973801,1.6183642,0.0017211112,0.002327672,0.114711985,2.6552312,0.28293672
1,2073,0.664,0.596,0.5654,0.2478,0.194,0.2277,0.40038496,-0.35164008,0.31745207,-0.5525798,0.2610839329414864,-0.97256887,0.384452,0.24554089,1.6215852,0.0004069028,0.0011610141,-0.1131483,3.7659972,0.10223084
0,2811,0.4136,0.3953,0.3735,0.3267,0.2656,0.298,0.4649861,-0.5503363,0.46938077,-0.41031808,0.4365303804390029,-1.5847921,1.6259476,0.02173373,1.6218238,0.0042453804,0.003813995,-0.16744082,2.3921676,0.14174493
2,1713,0.4844,0.444,0.4116,0.3352,0.3132,0.3242,0.53642213,-0.76921606,0.45395595,-0.42352977,0.4938247060941394,-1.0695081,1.0971389,0.10004721,1.6270937,0.001984252,0.0020282557,-0.34524152,3.1284933,0.27375752
1,2593,0.757,0.602,0.507,0.1759,0.1326,0.1481,0.3823557,-0.5585592,0.54727685,-0.5245521,0.4457078318684125,-0.9949246,1.0043043,-0.20060885,1.6279137,0.00034758824,0.00041858223,0.021967549,3.0782535,0.27457052
11,2606,0.7427,0.618,0.4092,0.2742,0.2329,0.253,0.637258,-0.6074566,1.2482444,-0.5706907,1.96421184069536,-1.9288858,2.5823584,-0.029970275,1.6329604,0.0053411108,0.0112994695,0.4424124,1.5328739,0.14044212
3,1614,0.4211,0.363,0.2964,0.2825,0.2686,0.2754,0.54101604,-0.7628916,0.6337351,-0.61934596,0.6943185325092915,-1.5994359,1.213311,0.29747805,1.638544,-6.550973e-05,0.002031328,0.09524471,2.8859587,0.12969585
3,2810,0.4502,0.3604,0.3206,0.2852,0.2483,0.262,0.6033906,-0.8997688,0.53629386,-0.57452774,0.6516913204420596,-1.6889509,1.3869069,0.13945962,1.6386256,0.0010178898,0.0025253005,-0.3337545,2.759714,0.09128922
4,674,0.2322,0.22,0.2104,0.2054,0.1792,0.1919,0.5146306,-0.24968436,0.4525538,-0.6742472,0.4696495963508,-1.0856616,0.9481808,-0.20786126,1.6446673,-2.0429237e-05,0.0015068625,0.1835326,3.0487812,0.1937765
1,2883,0.788,0.719,0.638,0.2401,0.1731,0.193,0.4193258,-0.20065825,0.2580891,-0.6066144,0.24244411008445,-0.71388227,0.4627061,0.100772515,1.6481085,0.00034698154,0.00087717595,-0.06256445,3.054333,0.260088
1,817,0.7583,0.6323,0.4895,0.1219,0.09503,0.1061,0.42471394,-0.67251503,0.6621432,-0.53090864,0.6188155481365636,-1.3588046,1.1138785,0.11197399,1.6507963,0.00047458988,0.00051612954,0.10536815,3.1131117,0.18357114
